COMID,StreamOrde,Roughness
1582453,1,0.2
1582449,1,0.2
1582451,1,0.2
1582465,1,0.2
1582469,1,0.2
1584053,1,0.2
1584087,1,0.2
1584605,1,0.2
1584213,1,0.2
1587295,1,0.2
1584291,1,0.2
1587431,1,0.2
1582463,1,0.2
1653479,2,0.1
1653481,3,0.065
1653483,3,0.065
1653413,1,0.2
1653417,2,0.1
1584245,4,0.045
1584119,4,0.045
1584175,4,0.045
1584115,4,0.045
1584125,4,0.045
1584223,4,0.045
1584123,4,0.045
1584107,4,0.045
1584609,4,0.045
1584085,4,0.045
1584071,4,0.045
1584603,4,0.045
1584641,4,0.045
1584063,4,0.045
1584061,4,0.045
1584057,4,0.045
1584059,4,0.045
1583953,4,0.045
1584043,4,0.045
1583943,4,0.045
1583911,3,0.065
1583941,3,0.065
1583917,2,0.1
1583935,2,0.1
1584627,2,0.1
1584629,2,0.1
1583899,2,0.1
1583897,2,0.1
1583803,2,0.1
1583757,2,0.1
1583735,2,0.1
1582443,2,0.1
1582439,2,0.1
1582433,2,0.1
1582431,1,0.2
1582659,1,0.2
1583909,3,0.065
1583907,3,0.065
1582459,2,0.1
1583903,2,0.1
1582467,2,0.1
1583939,3,0.065
1583945,2,0.1
1584041,1,0.2
1582673,1,0.2
1584095,2,0.1
1584093,1,0.2
1584089,1,0.2
1584079,1,0.2
1584225,2,0.1
1587287,2,0.1
1587365,3,0.065
1587369,3,0.065
1587349,3,0.065
1588273,3,0.065
1585055,3,0.065
1585053,3,0.065
1585063,2,0.1
1585047,2,0.1
1585185,2,0.1
1587435,3,0.065
1588309,3,0.065
1587417,3,0.065
1587415,2,0.1
1587413,2,0.1
1588305,2,0.1
1587463,4,0.045
1588433,4,0.045
1588099,2,0.1
1588311,2,0.1
1587455,2,0.1
1588101,4,0.045
1587479,3,0.065
1588103,2,0.1
1588313,2,0.1
1585187,2,0.1
1585087,2,0.1
1588105,4,0.045
1585115,4,0.045
1585199,4,0.045
1585173,4,0.045
1585117,4,0.045
1585191,4,0.045
1585089,4,0.045
